filepath,tokenIndex,lineNumber
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,484,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,438,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,484,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,438,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,484,47
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,398,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,442,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,398,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,442,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,398,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,442,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,398,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_int64_t_09_omitgood.final.ll,442,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,488,46
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,525,51
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,488,46
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,525,51
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,488,46
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,525,51
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,488,46
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_int64_t_07_omitgood.final.ll,525,51
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,386,36
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,428,41
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,386,36
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,428,41
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,386,36
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,428,41
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,386,36
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_14_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_char_14_omitgood.final.ll,428,41
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,458,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,496,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,458,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,496,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,458,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,496,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,458,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_long_17_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_long_17_omitgood.final.ll,496,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/point/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,453,40
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/point/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,518,50
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/bds/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,453,40
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/bds/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,518,50
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/api/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,453,40
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/api/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,518,50
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/arr/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,453,40
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.cpp_dir/arr/CWE416_Use_After_Free__malloc_free_struct_43_omitgood.final.ll,518,50
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,467,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,467,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,467,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_15_omitgood.final.ll,467,48
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.final.ll,459,43
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.final.ll,459,43
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.final.ll,459,43
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_struct_64a_omitgood.final.ll,459,43
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/point/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,374,34
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/point/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,798,76
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/bds/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,374,34
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/bds/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,798,76
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/api/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,374,34
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/api/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,798,76
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/arr/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,374,34
./data_416/SARD/data_source/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.c_dir/arr/CWE416_Use_After_Free__return_freed_ptr_10_omitgood.final.ll,798,76
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,465,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,465,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,465,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_long_15_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_long_15_omitgood.final.ll,465,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,383,35
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,383,35
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,383,35
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,383,35
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_int64_t_01_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.final.ll,335,31
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.final.ll,335,31
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.final.ll,335,31
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_char_64b_omitgood.final.ll,335,31
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,509,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,509,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,509,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_wchar_t_05_omitgood.final.ll,509,47
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.final.ll,388,33
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.final.ll,388,33
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.final.ll,388,33
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_array_char_62b_omitgood.final.ll,388,33
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,386,32
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,435,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,386,32
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,435,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,386,32
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,435,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,386,32
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_43_omitgood.final.ll,435,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.final.ll,564,34
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.final.ll,564,34
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.final.ll,564,34
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_array_int_64b_omitgood.final.ll,564,34
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,399,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,441,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,399,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,441,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,399,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,441,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,399,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_char_10_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_char_10_omitgood.final.ll,441,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,419,41
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,470,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,419,41
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,470,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,419,41
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,470,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,419,41
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_int_16_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_int_16_omitgood.final.ll,470,47
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,445,38
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,465,43
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,445,38
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,465,43
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,445,38
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,465,43
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,445,38
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_class_09_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_class_09_omitgood.final.ll,465,43
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,427,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,427,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/api/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,427,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,403,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.cpp_dir/arr/CWE416_Use_After_Free__new_delete_wchar_t_02_omitgood.final.ll,427,42
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int_15_omitgood.cpp_dir/point/CWE416_Use_After_Free__new_delete_int_15_omitgood.final.ll,465,48
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int_15_omitgood.final.ll,402,37
./data_416/SARD/data_source/CWE416_Use_After_Free__new_delete_int_15_omitgood.cpp_dir/bds/CWE416_Use_After_Free__new_delete_int_15_omitgood.final.ll,465,48
